cod_municipio,municipio,uf,data_competencia,ano,mes,internacoes
350635,BERTIOGA,SP,2025-10-01,2025,10,316
350635,BERTIOGA,SP,2025-11-01,2025,11,300
350635,BERTIOGA,SP,2025-12-01,2025,12,250
350640,BILAC,SP,2025-01-01,2025,1,36
350640,BILAC,SP,2025-02-01,2025,2,27
350640,BILAC,SP,2025-03-01,2025,3,22
350640,BILAC,SP,2025-04-01,2025,4,17
350640,BILAC,SP,2025-05-01,2025,5,14
350640,BILAC,SP,2025-06-01,2025,6,16
350640,BILAC,SP,2025-07-01,2025,7,19
350640,BILAC,SP,2025-08-01,2025,8,22
350640,BILAC,SP,2025-09-01,2025,9,22
350640,BILAC,SP,2025-10-01,2025,10,23
350640,BILAC,SP,2025-11-01,2025,11,15
350640,BILAC,SP,2025-12-01,2025,12,17
350650,BIRIGUI,SP,2025-01-01,2025,1,374
350650,BIRIGUI,SP,2025-02-01,2025,2,352
350650,BIRIGUI,SP,2025-03-01,2025,3,419
350650,BIRIGUI,SP,2025-04-01,2025,4,390
350650,BIRIGUI,SP,2025-05-01,2025,5,424
350650,BIRIGUI,SP,2025-06-01,2025,6,402
350650,BIRIGUI,SP,2025-07-01,2025,7,417
350650,BIRIGUI,SP,2025-08-01,2025,8,417
350650,BIRIGUI,SP,2025-09-01,2025,9,416
350650,BIRIGUI,SP,2025-10-01,2025,10,416
350650,BIRIGUI,SP,2025-11-01,2025,11,416
350650,BIRIGUI,SP,2025-12-01,2025,12,417
350670,BOA ESPERANCA DO SUL,SP,2025-01-01,2025,1,4
350670,BOA ESPERANCA DO SUL,SP,2025-02-01,2025,2,1
350670,BOA ESPERANCA DO SUL,SP,2025-03-01,2025,3,3
350670,BOA ESPERANCA DO SUL,SP,2025-04-01,2025,4,2
350670,BOA ESPERANCA DO SUL,SP,2025-05-01,2025,5,5
350670,BOA ESPERANCA DO SUL,SP,2025-06-01,2025,6,3
350670,BOA ESPERANCA DO SUL,SP,2025-07-01,2025,7,12
350670,BOA ESPERANCA DO SUL,SP,2025-08-01,2025,8,11
350670,BOA ESPERANCA DO SUL,SP,2025-09-01,2025,9,8
350670,BOA ESPERANCA DO SUL,SP,2025-10-01,2025,10,8
350670,BOA ESPERANCA DO SUL,SP,2025-11-01,2025,11,17
350670,BOA ESPERANCA DO SUL,SP,2025-12-01,2025,12,16
350680,BOCAINA,SP,2025-01-01,2025,1,12
350680,BOCAINA,SP,2025-02-01,2025,2,13
350680,BOCAINA,SP,2025-03-01,2025,3,12
350680,BOCAINA,SP,2025-04-01,2025,4,12
350680,BOCAINA,SP,2025-05-01,2025,5,14
350680,BOCAINA,SP,2025-06-01,2025,6,13
350680,BOCAINA,SP,2025-07-01,2025,7,15
350680,BOCAINA,SP,2025-08-01,2025,8,12
350680,BOCAINA,SP,2025-09-01,2025,9,15
350680,BOCAINA,SP,2025-10-01,2025,10,16
350680,BOCAINA,SP,2025-11-01,2025,11,10
350680,BOCAINA,SP,2025-12-01,2025,12,7
350700,BOITUVA,SP,2025-01-01,2025,1,157
350700,BOITUVA,SP,2025-02-01,2025,2,187
350700,BOITUVA,SP,2025-03-01,2025,3,206
350700,BOITUVA,SP,2025-04-01,2025,4,180
350700,BOITUVA,SP,2025-05-01,2025,5,229
350700,BOITUVA,SP,2025-06-01,2025,6,197
350700,BOITUVA,SP,2025-07-01,2025,7,207
350700,BOITUVA,SP,2025-08-01,2025,8,202
350700,BOITUVA,SP,2025-09-01,2025,9,191
350700,BOITUVA,SP,2025-10-01,2025,10,193
350700,BOITUVA,SP,2025-11-01,2025,11,160
350700,BOITUVA,SP,2025-12-01,2025,12,152
350710,BOM JESUS DOS PERDOES,SP,2025-01-01,2025,1,13
350710,BOM JESUS DOS PERDOES,SP,2025-02-01,2025,2,14
350710,BOM JESUS DOS PERDOES,SP,2025-03-01,2025,3,11
350710,BOM JESUS DOS PERDOES,SP,2025-04-01,2025,4,14
350710,BOM JESUS DOS PERDOES,SP,2025-05-01,2025,5,14
350710,BOM JESUS DOS PERDOES,SP,2025-06-01,2025,6,24
